Team,Opponent,Win,WL,Location,Date,Scorecard,WT,BF,Runs,Wickets,HA,Region
Pakistan,Australia,Australia,0,Sharjah,"Mar 22, 2019",ODI # 4116,1,1,280,5,1,Asia
Australia,Pakistan,Australia,1,Sharjah,"Mar 24, 2019",ODI # 4117,0,0,285,2,0,Australasia
Pakistan,Australia,Australia,0,Sharjah,"Mar 24, 2019",ODI # 4117,1,1,284,7,1,Asia
Australia,Pakistan,Australia,1,Abu Dhabi,"Mar 27, 2019",ODI # 4118,1,0,186,10,0,Australasia
Pakistan,Australia,Australia,0,Abu Dhabi,"Mar 27, 2019",ODI # 4118,0,1,266,6,0,Asia
Australia,Pakistan,Australia,1,Dubai (DSC),"Mar 29, 2019",ODI # 4119,0,1,277,7,0,Australasia
Pakistan,Australia,Australia,0,Dubai (DSC),"Mar 29, 2019",ODI # 4119,1,0,271,8,0,Asia
Australia,Pakistan,Australia,1,Dubai (DSC),"Mar 31, 2019",ODI # 4120,0,1,327,7,0,Australasia
Pakistan,Australia,Australia,0,Dubai (DSC),"Mar 31, 2019",ODI # 4120,1,0,307,7,0,Asia
Bangladesh,West Indies,Bangladesh,1,Dublin,"May 7, 2019",ODI # 4129,0,0,264,2,0,Asia
West Indies,Bangladesh,Bangladesh,0,Dublin,"May 7, 2019",ODI # 4129,1,1,261,9,0,America
England,Pakistan,England,1,Southampton,"May 11, 2019",ODI # 4133,1,1,361,7,1,Europe
Pakistan,England,England,0,Southampton,"May 11, 2019",ODI # 4133,0,0,373,3,1,Asia
Bangladesh,West Indies,Bangladesh,1,Dublin (Malahide),"May 13, 2019",ODI # 4134,1,0,361,5,0,Asia
West Indies,Bangladesh,Bangladesh,0,Dublin (Malahide),"May 13, 2019",ODI # 4134,0,1,247,9,0,America
England,Pakistan,England,1,Bristol,"May 14, 2019",ODI # 4135,1,0,359,4,1,Europe
Pakistan,England,England,0,Bristol,"May 14, 2019",ODI # 4135,0,1,358,9,0,Asia
